model;question;answer;similarity_score
intfloat/multilingual-e5-large-instruct;İş yerindeki bir grup için bir ekip oluşturma etkinliği oluşturun.;Spam e-postaları önlemek için iyi bir spam filtresi kullanmalı, e-posta adresinizi güvenilmeyen kaynaklara vermekten kaçınmalı, ikincil veya tek kullanımlık bir e-posta adresi ayarlamalı, birden çok e-posta adresi kullanmalı ve şüpheli e-posta mesajlarına karşı dikkatli olmalısınız.;0.7381653
intfloat/multilingual-e5-large-instruct;Dünyanın en kalabalık 8 ülkesini nüfuslarıyla eşleştirin.  Çin - 1,4 milyar ABD - 330 milyon Hindistan - 1,3 milyar Endonezya - 270 milyon Brezilya - 210 milyon Pakistan - 220 milyon Nijerya - 200 milyon Bangladeş - 165 milyon;Duyguları sınıflandırmada yardımcı olabilecek iki özellik, yüz ifadeleri ve beden dilidir. Gülümseme veya gülme gibi yüz ifadeleri mutluluğu, çatık kaşlar ve aşağı dönük dudaklar ise üzüntüyü gösterebilir. Aynı şekilde, açık ve rahat bir duruş, hafif hareketler ve baş sallama gibi beden dili mutluluğu çağrıştırabilirken, kambur omuzlar ve yavaş hareketler tam tersini gösterebilir.;0.74897814
intfloat/multilingual-e5-large-instruct;Çikolatanın tadını nasıl tarif edersiniz?;1989'da Berlin Duvarı'nın yıkılışı, Soğuk Savaş'ın sonunu ve Doğu ile Batı Almanya'nın barışçıl bir şekilde yeniden birleşmesini işaret ediyordu. Soğuk Savaş'ın sona ermesi, tarihte önemli bir dönüm noktasıydı ve Doğu Avrupa'da demokrasinin eski Komünist ülkelere yayılmasıyla bugün olduğu gibi dünyanın şekillenmesine yardımcı olan bir demokratikleşme dalgasını başlattı.;0.7202437
intfloat/multilingual-e5-large-instruct;Instagram'da bir kozmetik markası için hedefli bir gönderi oluşturun.;1. Bahçe alanını en üst düzeye çıkarmak için yükseltilmiş yataklar veya teraslar 2. Toprak verimliliğini desteklemek için gübreleme alanı 3. Erişim kolaylığı sağlamak için yollar 4. Sulama olarak kullanmak için yağmur suyu toplama sistemi 5. Sebze, bitki ve çiçeklerle donatılmış yetiştirme alanı;0.78345203
intfloat/multilingual-e5-large-instruct;Bir barok sanat tarzı söyleyin.;"Genetiği değiştirilmiş (GM) gıdalar hakkındaki tartışmalar, çevresel etkilerden potansiyel sağlık tehlikelerine kadar değişen endişelerle yıllardır devam etmektedir. Taraftarlar, mahsul verimini artırma ve zararlılara ve hastalıklara karşı daha fazla direnç oluşturma fırsatlarının, GDO'lu mahsulleri sürekli artan küresel nüfusa ayak uydurmak için uygun bir çözüm haline getirdiğini savunuyorlar. Ancak diğerleri, daha yüksek alerjenlik, besin içeriğindeki değişiklikler ve olası antibiyotik direnci gibi sorunlar dahil olmak üzere GDO'lu gıdalarla ilişkili potansiyel sağlık risklerinin altını çiziyor. GDO'lu mahsullerin desteklenmesinde ileri sürülen temel argümanlardan biri, tarımsal üretimde verim çıktılarını artırmamızı sağlamasıdır. Çiftçiler, mahsulleri hastalığa dayanıklılık veya hızlı büyüme yetenekleri gibi yeni nitelikler içerecek şekilde tasarlayarak, daha az araziye yönelmek zorunda kalırken üretebilecekleri gıda miktarını artırabilirler. Bu, küresel nüfus arttıkça özellikle önemlidir; Sınırlı kaynaklar ve tarımsal alanlar göz önüne alındığında, GDO'lu gıda, tarımsal sistemimizi önemli ölçüde genişletmek zorunda kalmadan herkesi beslemenin bir yolu olabilir. Potansiyel faydalarına rağmen, özellikle insan sağlığı üzerindeki etkileri olmak üzere GDO'lu gıdalarla ilgili riskler de vardır. Bazı araştırmalar, GDO'lu gıdaların belirli kişiler için alerjik etkileri olabileceğini öne sürdü; örneğin, genetik modifikasyon yoluyla ortaya çıkan belirli özellikler, bireylerin alerjisi olan maddelerin üretilmesine yol açabilir. Ek olarak, araştırmalar, GDO'lu gıdaların besin içeriğinde değişiklikler olabileceğini, çünkü üretimlerinde belirli özelliklerin diğerlerine göre optimize edilebileceğini öne sürüyor. Son olarak, örneğin viral direnç için belirli genlerin dahil edilmesi, insanlarda antibiyotik direncinin yayılmasına yol açabilir. Genel olarak, GDO'lu gıdalar hakkındaki tartışma, potansiyel yararları ve riskleri ile ilgili birçok soruyu gündeme getiriyor. Artan mahsul verimi ve zararlılara ve hastalıklara karşı direnç vaadi çekici olsa da, insan sağlığı üzerindeki potansiyel etkileri hafife alınmamalıdır. GDO'lu gıdaların avantajlarını ve dezavantajlarını tam olarak anlamak için, çevresel ve sağlık etkilerini değerlendirmek üzere araştırma yapılmalı ve ancak o zaman küresel gıda üretimine sürdürülebilir bir çözüm olarak fizibilitesini belirlemek için bilinçli bir karar verilebilir.";0.6671551
intfloat/multilingual-e5-large-instruct;Google'ın sayfa sıralaması için kullanılan algoritmayı tanımlayın.;Bir varmış bir yokmuş, kendini yalnız ve üzgün hisseden küçük bir kuş varmış. Hiç arkadaşı yoktu ve dünya ona karşıymış gibi hissediyordu. Bir gün kuş, diğer iki kuşun ormanda büyülü bir yer hakkında konuştuğuna kulak misafiri olur. Mutluluğu bulacağını umarak gidip onu aramaya karar verdi. Günlerce aradı, sonunda bitkin ve cesareti kırıldı. Tam pes etmek üzereyken, ortasında küçük bir ada bulunan güzel bir göl gördü. Adaya uçtu ve sürpriz bir şekilde farklı şekil ve boyutlarda başka birçok kuş gördü. Gülerek ve birlikte oynayarak onlar tarafından karşılandı. Pek çok arkadaş edindi ve artık üzgün ya da yalnız değildi. Hayatında ilk kez kendini mutlu ve huzurlu hissetti.;0.74751985
intfloat/multilingual-e5-large-instruct;Verilen kelimeler için yeni bir düzenleme bulun.  Küçük, evler, inşa;Japonya'nın en kalabalık üç şehri Tokyo, Yokohama ve Osaka'dır. 37 milyon insanla dünyanın en büyük metropol alanını oluşturuyorlar. Tokyo, nüfus ve bölgeye göre en büyüğüdür ve Japonya'nın fiili ulusal başkenti ve başlıca şehridir. Japonya'nın Kanto bölgesindeki Tokyo Körfezi'nde bulunur ve 9 milyondan fazla kişiye ev sahipliği yapar. Yokohama, Japonya'nın ikinci büyük şehri ve en kalabalık üçüncü kentsel alanıdır. Tokyo Körfezi'nin batı tarafında bulunur ve 3,7 milyondan fazla kişiye ev sahipliği yapar. Osaka, Japonya'nın en kalabalık ikinci ve bölgelere göre üçüncü büyük şehridir. Güney Japonya'da bulunur ve 2,7 milyondan fazla insana ev sahipliği yapar.;0.7127786
intfloat/multilingual-e5-large-instruct;Hayvanları kendi sınıflarına ayırın.  Kedi, Balık, Kaplan, Şahin;Ödev yap, odayı temizle, bulaşıkları yıka;0.8484361
intfloat/multilingual-e5-large-instruct;Hangi hayvanın dünyadaki en büyük gözlere sahip olduğunu öğrenin.;"Harry Potter serisinin en unutulmaz sözlerinden biri şudur: ""Mutluluk, en karanlık zamanlarda bile bulunabilir, eğer insan sadece ışığı açmayı hatırlarsa."" Profesör Dumbledore'un bu sözü, en zor zamanlarda bile iç huzuru ve umudu nasıl bulabileceğimizi gösteriyor. Koşullar ne olursa olsun, güçlü kalmanızı ve iyimser kalmanızı hatırlatır.";0.7404495
intfloat/multilingual-e5-large-instruct;Tarihin önemini tartışan iki arkadaş arasında bir diyalog oluşturun.;"""Yapay Zeka Geleceği Nasıl Dönüştürüyor ve Hepimiz İçin Ne İfade Ediyor""";0.79521775
