index;question;answer
9595; İş yerindeki bir grup için bir ekip oluşturma etkinliği oluşturun. ;"Harika bir ekip oluşturma etkinliği, sinema salonları veya ""Bu melodiyi adlandırın"" gibi bir grup oyunu oynamak olacaktır. Ayrıca çöpçü avı veya parkta piknik gibi açık hava etkinlikleri de yapabilirsiniz. Ayrıca grubun birlikte tamamlaması için bir proje tasarlayabilir veya her ekip üyesine tamamlaması için bir görev atayabilir ve grubun bir sorunu çözmek için bir sunum hazırlamasını sağlayabilirsiniz."
845; Dünyanın en kalabalık 8 ülkesini nüfuslarıyla eşleştirin.  Çin - 1,4 milyar ABD - 330 milyon Hindistan - 1,3 milyar Endonezya - 270 milyon Brezilya - 210 milyon Pakistan - 220 milyon Nijerya - 200 milyon Bangladeş - 165 milyon; Çin - 1,4 milyar Hindistan - 1,3 milyar ABD - 330 milyon Endonezya - 270 milyon Pakistan - 220 milyon Brezilya - 210 milyon Nijerya - 200 milyon Bangladeş - 165 milyon
36344; Çikolatanın tadını nasıl tarif edersiniz? ;Çikolata, karamel ve şekerleme ipuçlarıyla tatlı ve zengin bir tada sahiptir. Ayrıca vanilya ve fındık gibi ince notalara sahiptir.
43918; Instagram'da bir kozmetik markası için hedefli bir gönderi oluşturun. ;Bu yaz en iyi şekilde görünmek ister misin? Doğal güzellik ürünlerimizle ışıltılı, doğal bir ışıltının tadını çıkarın! İster teninizi eşitlemek ister bir miktar ışıltı katmak isteyin, doğal makyaj ve cilt bakımı yelpazemizle her şeyi sizin için yapıyoruz. #FeelBeautiful #DoğalGlow
23756; Bir barok sanat tarzı söyleyin. ; Bir barok sanat tarzı tenebrizmdir.
41994; Google'ın sayfa sıralaması için kullanılan algoritmayı tanımlayın. ;Google'ın sayfa sıralama algoritmasına PageRank denir. Sıralamasını belirlemek için her sayfanın önemini hesaplamak için diğer web sitelerinden bağlantılar kullanır.
50053; Verilen kelimeler için yeni bir düzenleme bulun.  Küçük, evler, inşa; Küçük evler inşa edin.
34166; Hayvanları kendi sınıflarına ayırın.  Kedi, Balık, Kaplan, Şahin; Memeli: Kedi, Kaplan Balık: Balık Kuş: Şahin
2504; Hangi hayvanın dünyadaki en büyük gözlere sahip olduğunu öğrenin. ; Dünyanın en büyük gözlerine sahip hayvan, iki inç çapa kadar gözleri olabilen Dev Mürekkepbalığıdır.
3001; Tarihin önemini tartışan iki arkadaş arasında bir diyalog oluşturun. ;Arkadaş 1: Hey, sence tarih neden bu kadar önemli? Arkadaş 2: Bu bize nerede olduğumuz ve bugün bulunduğumuz yere nasıl geldiğimiz hakkında bir fikir veriyor. Bize geçmişten dersler verir, böylece günümüzde daha bilinçli kararlar verebiliriz. Ayrıca, tarihi zamanlardan farklı kültürler ve gelenekler hakkında bilgi edinmek her zaman büyüleyicidir. Arkadaş 1: Evet, nasıl yararlı olabileceğini anlıyorum ama öğrenmesi çok zor ve sıkıcı görünüyor. Arkadaş 2: Sıkıcı olmak zorunda değil! Tarihi çok daha ilginç hale getirmenize yardımcı olacak pek çok hikaye ve merak uyandıran gerçek var. Sadece sizi en çok ilgilendiren şeyi bulmanız ve oradan gitmeniz gerekiyor.
